有朋友話感動，但自己睇又覺得唔太投入，感覺有點鬆散，好平淡。,negative
無睇過日劇。所以有d 悶。個人意見。節奏有d慢,negative
但我依然好憎係電影院睇電視。,negative
走左場,negative
喜歡日劇 但電影太zzzzz,negative
"每個小故都感動人心 但演技浮誇,還是比較喜漫畫",negative
由於個人比較中意睇動作 科幻 總之就要刺激 呢套戲就可能未必岩啲同我一樣既朋友仔 劇情平淡  可能會覺得悶 當然都有吸引既位,negative
因為睇左電視版，所以入左戲院睇，由十分期待，到失望離開，因為只係結集左電視精華，所以四粒🌟係俾電視版的。,negative
我是女朋友睇，節奏很慢，有點悶，我瞓左幾次！,negative
同預期有少少出入，比劇集故事性更弱，有少少悶。唔太投入到，感動唔到我。,negative
同電視劇比，描寫得無咁細膩，故事比較平面，比較單薄。我覺得無預期中好，電視劇迷會失望。,negative
好多朋友話好感動，但我係完全投入唔到，我覺得成個食堂好唔真實。只能夠講這不會是香港找到的。,negative
電影感覺好拖，有人話好有人情味，但我feel唔到。劇情好平淡，睇完覺得好嘥時間,negative
故事感情拍得不夠好，看起來有造作的感覺，唔太受到。整體覺得不過不失,negative
部戲同電視劇差唔多，其實唔係話好差，但無咩新鮮感。未算係好感動。純支持睇左。,negative
"比預期更似預期。首先係日本式嗰種慢慢嚟。。。頭廿分鐘仲未入局，中段感人，末段要望錶。。因為我係深夜睇深夜食堂，臨尾差少少瞓著， 但早後都堅持到尾。

唔係好差，不過故事以食堂為橋樑，連戴食客發生故事。唔係個個故事精彩。如果題材關於多啲食物可能更加吸引。

喜歡日本文化嘅可能忍唔住入場，但要有心理準備，要有耐性觀看，你可能先享受到。",negative
不知是不是我沒有追看電視劇，看起來覺得有點生疏，故事不是不好看，有點抽離的感覺，未算好感動,negative
Best for zzzz,negative
有朋友話感動，但自己睇又覺得唔太投入，感覺有點鬆散，好平淡。老實講係有少少失望,negative
听说是由电视剧改编的，每集都是一个相对独立的故事。所以我就有不详预感，觉得线条会很散…果然，我的预感没错，这也是电视剧改编为电影的最大难题…电影版有一条主线，三段故事，若干条副线，主线偏弱，副线发展不足…有点零散…就像是看了三集电视剧一样…不过还是很温馨…,negative
"有少少失望,唔太感動,期望太高。",negative
其實套日劇ok 有人情味。但冇咩主線 或高潮。比較平淡,negative
"垃圾,positive""分都俾多佢，錢國偉依條垃圾幾時收""",negative
此類題材的電影通常較易讓人回憶舊事触動心弦，可惜呢部電影冇。男女主角從形象到年紀去飾演15，6歲實在太牽強，女主角的造型也缺乏令一衆男生驚艷的說服力，實在没必要去多次強調她如何令人一見鐘情，倒不如花點時間從小細節小情景去描繪青澀的感情更好。電影花在賣弄慢鏡唯美鏡頭拍摄手法的時間多過去用心營造感人細節和心路的變化，令戲中主角配角的相戀和分手都顯得莫名其妙和匆匆交待就算，而少年時期的喜和悲好似两者毫無關係各自發生分開拍摄一樣，靠旁白靠對住陌生人的鏡頭去表白來交待劇情和心路的做法顯得較為作造和虚假。想想妳少年時代的愛情和及長大後談起那段往事時的心境，相信唔會係電影所表述的那樣。,negative
"如果唔係劉華，我都唔會去睇，完全九唔搭八！
又冇講佢（劉華）搵唔搵到
又冇話個bb既媽咪死唔死
淨係幫佢搵返屋企人，但之後又冇講點
交帶得唔清唔楚，我駛咩入場睇喎！！",negative
失敗,negative
沒有戲劇衝突，沒有爆發力，敘事力的分散使得影片毫不走心，頻頻讓人出戲。相比于同類題材的《親愛的》，《失孤》對於細節的把握是失敗的，沒有該題材應有的質感。,negative
唔係劉華唔入場,negative
故事有意義，令人知道拐賣小孩的事。可惜拍不「到肉」。最差的其中有劉華和井然的那段，亦朋友亦父子，大家同樣有失去和被失去的心情，劉華以過來人，十多年不放棄，什麼都見過的身份，希望給井然帶出「不要放棄，有的例子真有好結尾」的堅持。可惜，拍得很差。好像一老一嫩在同性戀。,negative
Not good .,negative
不值一看！浪費時間！,negative
垃圾垃圾垃圾垃圾垃圾垃圾,negative
還是看原著吧，電影拍的一般，遠不如原著。,negative
It could be better :),negative
唉。。有點失望，希望大家繼續努力！！,negative
"我覺得冇咩特別⋯
有幾個位都笑都岀來⋯",negative
"睇左雖然都半個月 但都仲係覺得部戲好唔掂
笑位真係唔好笑 但故事大體 想表達既野係清晰 好易明
結局 比起好多無厘頭既結局 佢算叫完得算係咁
但作為笑片 真係唔好睇 全場無笑過",negative
"最好睇嘅地方預告出曬！
主旨系好，但係表現手法要執執佢，
我笑點低，但呢套戲我笑唔出！",negative
劇本欠說服力，演員的演出很恐怖，完全唔知做乜。導演咁叻宣傳，不如先寫好劇本。,negative
我男朋友睇到訓著，爆悶！,negative
"請不要like或dislike一星仔或打手

改編自比利時電影「屍家性地」的荷里活版本。說甚麼懸疑推理，結局意想不到，都是言過其實，論邏輯推理遠遠不及日本的東野圭吾、松本清張，電影根本沒有合理的線索讓觀眾有推理的空間，只有牽強而橫生的枝節，企圖給觀眾意料之外的感覺。但為甚麼肥佬和心理醫生可以置身事外，他們不都犯了插贓嫁禍、防礙司法公正、串謀、誤殺⋯⋯等等罪名，為甚麼六個月後可以過正常生活？
五兄弟之中，有一個從來沒有用合資私竇鬼混，那他為甚麼要夾錢？只為盜錄兄弟「偷食」片斷來自娛？值得斥巨資支持這種變態但又損人不利己的行為嗎？若說他也暗戀女死者，為甚麼要連其他兄弟和其他小三的床第纏綿也不放過？
肥佬和太太終於言歸於好，是因為大家都有偷食，扯平了？真受不了西方這套哲學或道德！大家呃呃氹氹、隻眼開隻眼閉便可廝守一生？
五對夫妻婚姻都不美滿，全部是怨偶，互相猜忌懷疑，爾虞我詐，各自偷歡，婚姻既不建基於真愛和信任，脆弱得不堪一碰，看著彼此不高興，根本沒有勉強下去的理由，不是你死我亡，便自然離婚收場，怨憎會只指向互相消耗剝削，最終不是攬住一齊死，便是不斷擴大的不快。
朋友妻妹都咪走雞那一位，根本不配有兄弟，被眾兄弟合謀報復是活該，被老婆分走大部分身家是抵死，其他的有兩位須對用情不專付上生命和終身自由的代價，但為甚麼另外兩個同樣不忠和串謀害人，卻可以有Happy Ending？",negative
導演自已知唔知道拍d乜呀,negative
其實想表達甚麼呢？,negative
劇情推進得慢...悶....可能係日本寫照,negative
只為道出日本現今某些國內現象…故事一般,negative
"真係好悶 好多個位都太長
啲角色既處境好咎由自取
太過多巧合 好難感動到人",negative
好奇怪，原本係個不錯的故事，但，竟然讓我hup眼瞓，無咩笑位不特止，太多演員closeup鏡頭想點呢？surprise既係：寄生獸男主角一出場就收工....（有睇漫畫既飄過）,negative
我真係覺得爛爆。全部錯哂=_=。完全0分,negative
"主角係高中生，覺得個世界好無聊，祈禱希望個世界毀滅，然後出現左5/6個吉祥物，同所有高中生玩遊戲，玩輸左就死，玩贏左就生存，經過幾輪遊戲，凸顯主角有勇有謀又好運，然後死剩兩個人，但唔明點解天空出現巨大立方體物體，其他日本人就會信係神既旨意，死剩兩個係神之子，而唔係外星人入侵地球，總之最後生存既兩個高中生，即係主角同第二主角(?)，就比萬人景仰，最後留左個伏筆，話呢個世界真係有神架，咁就完。
我係真係唔明點解評語會話好睇，有冇人可以解釋比我聽邊度好睇？
唔知佢想講友情定愛情定人生目標定點，捉唔到重點，個d死亡遊戲只係凸顯主角好叻，其他人自私蠢唔冷靜咁樣。可能我唔識睇日本戲，又可能睇漫畫會好睇d。
呢套戲既劇情同伏筆完全勾引唔到我去睇第二集，好失敗。",negative
果然宮崎駿的電影比較適合科幻的題材，這部電影敘述過於平淡，作為一個小說改篇的敘事作品，卻很難令人代人主角的角色當中，實為一大敗筆。,negative
"Hugh seems to be unable to out grow himself, keeping the same way of acting over the years. But if you miss his peculiar awkwardness, and pretentious accent, then it's ok. Otherwise, the whole movie is rather plain. 3 stars is fair?",negative
好無聊 雖然休•格蘭特還是一樣很帥 但也無法拯救這部無聊的電影,negative
超超超無聊、悶爆！！！,negative
劇情太一般 睇一半都估到,negative
"waste money......
suck film......
and waste my time",negative
Not good! Bad story,negative
看了兩個新導演的衝鋒車及暴瘋語，有驚喜，見到資深演員吳嘉麗首次執導，有更大期望。故事大綱其實不錯，結局還有點意想不到，但電影一開頭就令人覺得鬆散幼嫩，中段就是用不合理的安排而想製造血腥及緊張，但只怪我看得恐怖片太多，今回完全不覺緊張。男主角較為順眼，其他新演員令人看得不舒服，女主角更只有一个表情。吳嘉麗也好像演得失了水準。,negative
電影好明顯有泰國恐怖片的痕迹，演員都算合格，吴家麗的表演當然系裡面較為出色的，音樂音效場景鏡頭其實ok的，開頭都算快就入驚嚇的部分，節奏還好，只是幾段flashback手法有d老土，交待情節和角色的心理用台詞直接講出來有點兒太直白。劇本真的比較弱，唔合理又牵強，真系每一段都忍唔住問點解嘎點解嘎點解嘎,negative
唔得啦。剩係回憶舊片已經成粒幾鐘。好差,negative
雖然劇情和角色和前集稍有不同，但高潮部份的結構和之前基本一樣，就和超人情節一樣，一開始佔上風，然後不夠打，但係最後又贏番。除非係復仇迷，如果唔係真係一般普通科幻電影而已。。。,negative
很无聊的电影，主角无敌,negative
"班底好 諗法好
但戲一般 劇本一般

比想像中差
但都算交到功課

留後路出續集唔係唔得
但放埋寒戰度就真係比下去
至少都要韓城攻略既水準先叫合格😕

總括而言 有些少浪費",negative
"卡士係幾勁 但情節鬆散

中段比較亂

有d浪費左張學友同張家輝",negative
陣容勁，但劇情唔吸引,negative
"有D悶,,,都係果D野，冇咩SURPRISE",negative
一套給我過半鐘冷氣的戲,negative
But nothing really special,negative
"請不要like或dislike一星仔和打手

今天忘了帶鎖匙，回家時望門興嘆，為免流落街頭，便一頭栽進戲院，看了這齣原沒有打算看的電影，除此以外，唯一能吸引我的原因是一個名字：許誠毅，這個理工仔，遠走荷里活，創造出「史力加」，所以支持有創意的港人和港產片便是我掏腰包的動力。
故事內容熱鬧、流暢、有趣⋯⋯有點超出本來期望，但要說深度嘛，是沒有的，無偈喇，這是老少咸宜的暑假電影，否則，像去年的「輝耀姬」，便可能悶親小朋友兼趕客。
電影有不少可取之處，胡巴造型可愛，比史力加更勝，不過妖怪造型單調，通通四手兩腳，只是顏色大小不同，變化不多！另外，真人和3D動漫角色的crossover造得不錯，同場效果很和諧而自然，鏡頭運用、角度和CG應記一功！全片廠景不多，大多是實境，把大陸的山川之美表露無遺，把故事的人、妖和天師襯托得更有靈氣！
白百荷演得比井柏然好，不過不及一眾串星搶鏡：曾志偉、吳君如、湯唯、金燕鈴、姜武（姜文弟弟，外表九成相似）⋯⋯
雖然故事簡單，但投資者似乎信心十足，有意開拍續集，甚至發展成一個系列，因為小妖胡巴還未長大，妖界內亂未平，胡巴需要回妖界報仇復位，天蔭也只是一錢道士，還有很長的修練之路，更何況他還未找到他的天師爸爸⋯⋯情節有餘未盡，不過，還得奉勸許誠毅在下集多點為妖怪設計不同造型和絕技，編劇也花多點心思，好讓劇情意想不到、峰迴路轉⋯⋯這才可望引人入勝，長拍長有，否則空有荷里活的技術，也難接二連三，落得無以為繼便不好了，畢竟一套當觀眾離場時甚麼都帶不走的電影，絕對無望好戲連場！",negative
超級爛片，超級悶可以😴😴😴😴😴,negative
Fallen sleep,negative
绝对烂片 白瞎了 jude law和斯塔森,negative
"頭五分鐘好睇！之後極之垃圾。
不合理的劇情，一路坐係office 多年0既肥嬸嬸，原來係超人，身手貼近成龍，點解咁勁？冇點解…",negative
"i dont find the female spy is fun to watch,
 the supporting role is hilarious tho",negative
因為你未必笑得岀...,negative
"本來以為好好笑，但看左之後唔太搞笑，幾乎無笑過
但其實整體來講到不錯，尤其是最尾在飛機上的鬥爭",negative
笑點都只係得幾個，仲要係咸濕笑點,negative
邊有講到咁好笑呀，中伏,negative
本身好多朋友話好笑 但懷疑係眼訓 感覺好想訓好悶 但都值三星既,negative
"Disappointing.
Keep saying ""fuck"" a million times is not funny.",negative
